"Country.Province" "Lat" "Long" "Sum_ills" "Mean_ills" "Std_ills"
"1" "Afghanistan:" 33.93911 67.709953 61762583 77983.0593434343 60220.703304371
"2" "Albania:" 41.1533 20.1683 75811348 95721.398989899 86713.8457696884
"3" "Algeria:" 28.0339 1.6596 88318571 111513.347222222 83868.8078559312
"4" "Andorra:" 42.5063 1.5218 8635212 10903.0454545455 10365.0022986138
"5" "Angola:" -11.2027 17.8739 24045528 30360.5151515152 31002.8425207495
"6" "Antarctica:" -71.9499 23.347 1100 1.38888888888889 3.65590498259288
"7" "Antigua and Barbuda:" 17.0608 -61.7964 1254106 1583.46717171717 2151.55991778783
"8" "Argentina:" -38.4161 -63.6167 2258854284 2852088.74242424 2676465.2654821
"9" "Armenia:" 40.0691 45.0382 132665174 167506.532828283 128902.98896738
"10" "Australia:Australian Capital Territory" -35.4735 149.0124 3535052 4463.44949494949 13253.0873790635
"11" "Australia:New South Wales" -33.8688 151.2093 102860049 129873.799242424 353327.640582941
"12" "Australia:Northern Territory" -12.4634 130.8456 2206314 2785.75 9476.98274825621
"13" "Australia:Queensland" -27.4698 153.0251 36283610 45812.6388888889 145013.673126125
"14" "Australia:South Australia" -34.9285 138.6007 10472233 13222.5164141414 40441.9357329155
"15" "Australia:Tasmania" -42.8821 147.3272 3091943 3903.96843434343 12381.9823363124
"16" "Australia:Victoria" -37.8136 144.9631 90047331 113696.125 273009.516019593
"17" "Australia:Western Australia" -31.9505 115.8605 1882759 2377.22095959596 10096.5341254092
"18" "Austria:" 47.5162 14.5501 455816429 575525.794191919 693209.940928081
"19" "Azerbaijan:" 40.1431 47.5769 208805960 263643.888888889 240702.496860355
"20" "Bahamas:" 25.025885 -78.035889 8735699 11029.922979798 10180.1813396965
"21" "Bahrain:" 26.0275 50.55 127613065 161127.607323232 138430.42131464
"22" "Bangladesh:" 23.685 90.3563 605522007 764547.988636364 629884.544820977
"23" "Barbados:" 13.1939 -59.5432 6827306 8620.33585858586 14979.4603750777
"24" "Belarus:" 53.7098 27.9534 246396967 311107.281565657 269089.139403165
"25" "Belgium:" 50.8333 4.469936 725162435 915609.13510101 945116.210931464
"26" "Belize:" 17.1899 -88.4976 10987549 13873.1679292929 15525.7822987506
"27" "Benin:" 9.3077 2.3158 7245320 9148.13131313131 9683.3802533335
"28" "Bhutan:" 27.5142 90.4336 1473309 1860.23863636364 3323.97083069473
"29" "Bolivia:" -16.2902 -63.5887 235609766 297487.078282828 259248.401275066
"30" "Bosnia and Herzegovina:" 43.9159 17.6791 110241665 139194.021464646 117714.532475111
"31" "Botswana:" -22.3285 24.6849 58494853 73857.1376262626 89709.491498491
"32" "Brazil:" -14.235 -51.9253 9270931029 11705720.9962121 9265376.37990911
"33" "Brunei:" 4.5353 114.7277 5231743 6605.73611111111 18922.2033414286
"34" "Bulgaria:" 42.7339 25.4858 250644520 316470.353535354 317875.850008587
"35" "Burkina Faso:" 12.2383 -1.5616 7045496 8895.82828282828 7070.15389342203
"36" "Burma:" 21.9162 95.956 156169054 197183.148989899 208331.665356919
"37" "Burundi:" -3.3731 29.9189 6511169 8221.17297979798 11857.9392381264
"38" "Cabo Verde:" 16.5388 -23.0418 16146660 20387.196969697 18040.9115663741
"39" "Cambodia:" 11.55 104.9167 31184899 39374.8724747475 51632.7798975327
"40" "Cameroon:" 3.848 11.5021 40601011 51263.9027777778 40996.2710567458
"41" "Canada:Alberta" 53.9333 -116.5765 129575333 163605.218434343 159111.217109828
"42" "Canada:British Columbia" 53.7267 -127.6476 82909794 104684.083333333 105950.158249053
"43" "Canada:Diamond Princess" 0 0 32 0.0404040404040404 0.19702936277119
"44" "Canada:Grand Princess" 0 0 9570 12.0833333333333 3.28050210458006
"45" "Canada:Manitoba" 53.7609 -98.8139 29379928 37095.8686868687 37750.3365640734
"46" "Canada:New Brunswick" 46.5653 -66.4619 3910548 4937.56060606061 9700.96588913511
"47" "Canada:Newfoundland and Labrador" 53.1355 -57.6604 2204482 2783.43686868687 6343.98779924905
"48" "Canada:Northwest Territories" 64.8255 -124.8457 773642 976.820707070707 2200.52889072452
"49" "Canada:Nova Scotia" 44.682 -63.7443 5349464 6754.37373737374 11653.5008066693
"50" "Canada:Nunavut" 70.2998 -83.1076 386160 487.575757575758 677.241935357676
"51" "Canada:Ontario" 51.2538 -85.3232 282047689 356120.819444444 333423.786536709
"52" "Canada:Prince Edward Island" 46.5107 -63.4168 969162 1223.68939393939 3798.13681310496
"53" "Canada:Quebec" 52.9399 -73.5491 225484692 284702.893939394 251800.731090516
"54" "Canada:Repatriated Travellers" NA NA 6305 7.96085858585859 6.33771312113186
"55" "Canada:Saskatchewan" 52.9399 -106.4509 28795902 36358.4621212121 38378.0414366319
"56" "Canada:Yukon" 64.2823 -135 446144 563.313131313131 970.842621713644
"57" "Central African Republic:" 6.6111 20.9394 5085447 6421.01893939394 4333.82473109997
"58" "Chad:" 15.4542 18.7322 2561944 3234.77777777778 2336.98271949372
"59" "Chile:" -35.6751 -71.543 797611033 1007084.63762626 814751.168185584
"60" "China:Anhui" 31.8257 117.2264 776933 980.97601010101 114.565537497268
"61" "China:Beijing" 40.1824 116.4142 770429 972.763888888889 280.666785187501
"62" "China:Chongqing" 30.0572 107.874 463586 585.335858585859 63.221128403662
"63" "China:Fujian" 26.0789 117.9874 557625 704.07196969697 435.351616755979
"64" "China:Gansu" 35.7518 104.2861 164508 207.712121212121 92.1041731687019
"65" "China:Guangdong" 23.3417 113.4244 1913567 2416.11994949495 977.576244746045
"66" "China:Guangxi" 23.8298 108.7881 273817 345.728535353535 225.977222247826
"67" "China:Guizhou" 26.8154 106.8748 116193 146.708333333333 19.1949090187392
"68" "China:Hainan" 19.1959 109.7453 139144 175.686868686869 21.6334930030368
"69" "China:Hebei" 39.549 116.1306 715545 903.465909090909 521.634687550648
"70" "China:Heilongjiang" 47.862 127.7615 1053974 1330.77525252525 519.241528431836
